DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2012,10838.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2013,10537.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2014,10590.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2015,10644.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2016,10733.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2017,11137.538,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2018,10963.025,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2019,10843.892,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2020,11356.181,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2021,11953.294,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CY,2018,1688.278,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CY,2019,1771.692,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CY,2020,1805.835,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CY,2021,1817.409,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2015,14382.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2016,14935.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2017,15211.299,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2018,15049.536,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2019,15256.834,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2020,15972.500,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,CZ,2021,17260.001,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2010,141700.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2011,136600.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2012,137000.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2013,136000.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2014,129600.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2015,128700.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2016,128200.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2017,130924.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2018,127880.001,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2019,126539.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2020,127426.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DE,2021,138470.999,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2015,10176.668,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2016,10296.111,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2017,9863.889,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2018,9741.835,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2019,10241.653,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2020,10945.963,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,DK,2021,10833.280,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EA20,2018,571845.182,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EA20,2019,569560.227,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EA20,2020,574839.858,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EA20,2021,603293.025,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2010,2023.289,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2011,1934.277,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2012,1956.280,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2013,1865.267,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2014,1739.248,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2015,1728.246,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2016,1913.272,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2017,1940.278,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2018,1860.137,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2019,2069.997,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2020,1998.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EE,2021,2229.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2013,17446.111,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2015,17537.900,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2016,19996.900,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2017,19627.852,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2018,16762.610,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2019,17377.539,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2020,17486.201,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EL,2021,17715.799,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2010,75678.583,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2011,76106.577,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2012,75087.585,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2013,71059.603,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2014,70709.612,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2015,70068.617,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2016,69647.613,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2017,71392.603,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2018,75005.582,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2019,72980.590,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2020,73223.597,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,ES,2021,73148.594,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EU27_2020,2018,706101.460,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EU27_2020,2019,704012.227,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EU27_2020,2020,711588.303,
